year,month,mean_temp,mean_rain
2021,6,13.8,17.4
2021,7,17.1,74.9
2021,8,14.9,142.1
2021,9,14.5,58.1
2021,10,11.4,97.7
2021,11,7.8,41.6
2021,12,6.3,128
2022,1,5.1,47.6
2022,2,6.2,131.8
2022,3,6.6,46.2
2022,4,8.1,48.7
2022,5,12,53.4
2022,6,13.5,100.6
2022,7,16.2,31.6
2022,8,15.5,35.2
2022,9,12.9,104.1
2022,10,11.3,208.8
2022,11,8.2,109.3
2022,12,3.4,84.5
