Years,CO2,CH4,mullingar_mean_temp,mullingar_temp_anomaly,mullingar_mean_rain,mullingar_rain_anomaly,antarctic_temp_anomaly,global_temp_anomaly
-91.0,,,,,,,-0.17,-0.12
-92.0,,1006.4,,,,,-0.14,-0.06
-92.17,305.74,,,,,,,
-93.0,,,,,,,-0.18,-0.11
-93.61,305.38,,,,,,,
-94.0,,,,,,,-0.15,-0.31
-94.26,305.78,,,,,,,
-94.46000000000001,305.71,,,,,,,
-94.84,305.67,,,,,,,
-95.0,,997.0,,,,,-0.08,-0.17
-95.2,308.02,,,,,,,
-96.0,,,,,,,-0.07,-0.18
-97.0,,990.05,,,,,-0.15,-0.08
-97.69,304.97,,,,,,,
-98.0,,,,,,,-0.21,-0.2
-98.25,304.72,,,,,,,
-99.0,,,,,,,-0.08,-0.22
-100.0,,,,,,,-0.15,-0.24
-100.16,306.2,,,,,,,
-100.49,303.18,,,,,,,
-101.0,,,,,,,-0.13,-0.24
-102.0,,,,,,,-0.19,-0.17
-103.0,,,,,,,-0.25,-0.25
-103.28999999999999,301.88,,,,,,,
-104.0,,,,,,,-0.12,-0.24
-104.33,304.61,,,,,,,
-105.0,,,,,,,-0.18,-0.28
-105.13,303.85,,,,,,,
-106.0,,929.9,,,,,-0.2,-0.43
-107.0,,,,,,,-0.02,-0.31
-107.21000000000001,301.92,,,,,,,
-108.0,,,,,,,-0.02,-0.1
-108.61,300.7,,,,,,,
-109.0,,921.6,,,,,-0.09,-0.14
